index;x;y;z
460;0.868652;0.755478;-0.813599
461;0.716324;0.816925;-0.826477
462;0.670334;0.665848;-0.593735
463;0.613358;0.553864;-0.563522
464;0.541046;0.547897;-0.560623
465;0.514328;0.608597;-0.548172
466;0.545746;0.556229;-0.497726
467;0.553558;0.486938;-0.426605
468;0.538803;0.464737;-0.390884
469;0.535965;0.476349;-0.392914
470;0.524887;0.534790;-0.395187
471;0.548752;0.567657;-0.404282
472;0.571579;0.520538;-0.383163
473;0.597031;0.509430;-0.402512
474;0.614227;0.512360;-0.387192
475;0.736618;0.609177;-0.429764
476;0.904037;0.616653;-0.541702
477;1.080063;0.712891;-0.723694
478;1.077209;0.592743;-0.907013
479;0.890152;0.521332;-0.940918
480;0.586884;0.469833;-0.727234
481;0.510742;0.418335;-0.632492
482;0.571548;0.399353;-0.569382
483;0.631653;0.356674;-0.505508
484;0.691162;0.300995;-0.485565
485;0.698944;0.282318;-0.470093
486;0.641968;0.325821;-0.440720
487;0.632614;0.338837;-0.428696
488;0.676483;0.329315;-0.436417
489;0.719543;0.311646;-0.428314
490;0.696243;0.296295;-0.419479
491;0.644485;0.333618;-0.407837
492;0.707245;0.416000;-0.463120
493;0.823517;0.494919;-0.603027
494;0.839066;0.501755;-0.599884
495;0.802856;0.615891;-0.650116
496;0.869568;0.686005;-0.683533
497;0.868835;0.748459;-0.823074
498;0.737122;0.674622;-0.764816
499;0.645203;0.572067;-0.565567
500;0.593643;0.532684;-0.567398
501;0.568726;0.534103;-0.600189
502;0.570328;0.628510;-0.604538
503;0.594757;0.566330;-0.520126
504;0.602066;0.502014;-0.439316
505;0.560867;0.454803;-0.388718
506;0.521637;0.455383;-0.396820
507;0.493607;0.519455;-0.426575
508;0.540115;0.547806;-0.423813
509;0.562744;0.501190;-0.433655
510;0.542404;0.495087;-0.458160
511;0.533859;0.564468;-0.476608
512;0.610565;0.567612;-0.414230
513;0.755844;0.572098;-0.485596
514;0.990906;0.710220;-0.688736
515;1.133560;0.598923;-1.010818
516;0.909439;0.541809;-1.053360
517;0.649200;0.409256;-0.765686
518;0.538574;0.401093;-0.660950
519;0.555450;0.435776;-0.577087
520;0.642014;0.388947;-0.510941
521;0.707977;0.263107;-0.471375
522;0.701996;0.267166;-0.478943
523;0.654892;0.317642;-0.478195
524;0.638580;0.341339;-0.485184
525;0.677460;0.344147;-0.504623
526;0.702209;0.330704;-0.512955
527;0.694580;0.303055;-0.476410
528;0.670074;0.289291;-0.486282
529;0.635437;0.303497;-0.487534
530;0.644211;0.374985;-0.514832
531;0.706772;0.432541;-0.570999
532;0.871704;0.494293;-0.596207
533;0.934311;0.516495;-0.632782
534;0.931564;0.763779;-0.887436
535;0.679993;0.679260;-0.836838
536;0.639374;0.673843;-0.583405
537;0.625626;0.545090;-0.569458
538;0.592697;0.547165;-0.600723
539;0.570129;0.615372;-0.648621
540;0.591217;0.604630;-0.597565
541;0.635223;0.516907;-0.476410
542;0.595062;0.460938;-0.393539
543;0.550858;0.472443;-0.384811
544;0.512375;0.490799;-0.397797
545;0.528809;0.518982;-0.416382
546;0.561111;0.521484;-0.406769
547;0.589767;0.529007;-0.418945
548;0.618561;0.557602;-0.418030
549;0.701004;0.596161;-0.400406
550;0.889191;0.606613;-0.473709
551;0.924774;0.596893;-0.560272
552;0.837265;0.569351;-0.619507
553;0.761963;0.668259;-0.656921
554;0.788391;0.586655;-0.759476
555;0.733459;0.449738;-0.789948
556;0.663574;0.364838;-0.711685
557;0.637314;0.385849;-0.653946
558;0.680389;0.402344;-0.583374
559;0.730331;0.380890;-0.545807
560;0.730789;0.353729;-0.521210
561;0.668411;0.366486;-0.481216
562;0.620819;0.355972;-0.442093
563;0.629410;0.326401;-0.426743
564;0.666748;0.312012;-0.430389
565;0.706894;0.317642;-0.445450
566;0.695511;0.325134;-0.466110
567;0.653076;0.365372;-0.505386
568;0.638580;0.398972;-0.541641
569;0.712524;0.490173;-0.614700
570;0.812729;0.477997;-0.590698
571;0.834167;0.507935;-0.617859
572;0.849365;0.636307;-0.693710
573;0.725922;0.767365;-0.808945
574;0.636932;0.765686;-0.731903
575;0.660141;0.586044;-0.491257
576;0.640762;0.581299;-0.571548
577;0.572647;0.647552;-0.589874
578;0.606827;0.676163;-0.628983
579;0.665863;0.590881;-0.556580
580;0.645264;0.487198;-0.440689
581;0.565399;0.476059;-0.384506
582;0.518738;0.461472;-0.383667
